"","test","data","power","num_obs","lambda1","lambda2","alpha","FC"
"141","NB test","original",0.4675,100,1000,10000,10000,1.1
"142","NB test","rarefied",0.2525,100,1000,10000,10000,1.1
"143","t test","original",0.5075,100,1000,10000,10000,1.1
"144","t test","rarefied",0.25,100,1000,10000,10000,1.1
"145","NB test","original",0.085,20,1000,2000,100,1.15
"146","NB test","rarefied",0.0775,20,1000,2000,100,1.15
"147","t test","original",0.0625,20,1000,2000,100,1.15
"148","t test","rarefied",0.055,20,1000,2000,100,1.15
"149","NB test","original",0.1375,100,1000,2000,100,1.15
"150","NB test","rarefied",0.12,100,1000,2000,100,1.15
"151","t test","original",0.1275,100,1000,2000,100,1.15
"152","t test","rarefied",0.11,100,1000,2000,100,1.15
"153","NB test","original",0.0675,20,1000,10000,100,1.15
"154","NB test","rarefied",0.0775,20,1000,10000,100,1.15
"155","t test","original",0.0425,20,1000,10000,100,1.15
"156","t test","rarefied",0.0475,20,1000,10000,100,1.15
"157","NB test","original",0.1425,100,1000,10000,100,1.15
"158","NB test","rarefied",0.13,100,1000,10000,100,1.15
"159","t test","original",0.13,100,1000,10000,100,1.15
"160","t test","rarefied",0.125,100,1000,10000,100,1.15
"161","NB test","original",0.1225,20,1000,2000,1000,1.15
"162","NB test","rarefied",0.095,20,1000,2000,1000,1.15
"163","t test","original",0.1025,20,1000,2000,1000,1.15
"164","t test","rarefied",0.0625,20,1000,2000,1000,1.15
"165","NB test","original",0.425,100,1000,2000,1000,1.15
"166","NB test","rarefied",0.3625,100,1000,2000,1000,1.15
"167","t test","original",0.4325,100,1000,2000,1000,1.15
"168","t test","rarefied",0.35,100,1000,2000,1000,1.15
"169","NB test","original",0.1025,20,1000,10000,1000,1.15
"170","NB test","rarefied",0.09,20,1000,10000,1000,1.15
"171","t test","original",0.09,20,1000,10000,1000,1.15
"172","t test","rarefied",0.075,20,1000,10000,1000,1.15
"173","NB test","original",0.505,100,1000,10000,1000,1.15
"174","NB test","rarefied",0.37,100,1000,10000,1000,1.15
"175","t test","original",0.5075,100,1000,10000,1000,1.15
"176","t test","rarefied",0.36,100,1000,10000,1000,1.15
"177","NB test","original",0.1625,20,1000,2000,10000,1.15
"178","NB test","rarefied",0.1325,20,1000,2000,10000,1.15
"179","t test","original",0.1775,20,1000,2000,10000,1.15
"180","t test","rarefied",0.1375,20,1000,2000,10000,1.15
"181","NB test","original",0.715,100,1000,2000,10000,1.15
"182","NB test","rarefied",0.5575,100,1000,2000,10000,1.15
"183","t test","original",0.7175,100,1000,2000,10000,1.15
"184","t test","rarefied",0.5575,100,1000,2000,10000,1.15
"185","NB test","original",0.2225,20,1000,10000,10000,1.15
"186","NB test","rarefied",0.14,20,1000,10000,10000,1.15
"187","t test","original",0.2625,20,1000,10000,10000,1.15
"188","t test","rarefied",0.135,20,1000,10000,10000,1.15
"189","NB test","original",0.8275,100,1000,10000,10000,1.15
"190","NB test","rarefied",0.585,100,1000,10000,10000,1.15
"191","t test","original",0.84,100,1000,10000,10000,1.15
"192","t test","rarefied",0.5775,100,1000,10000,10000,1.15
"193","NB test","original",0.08,20,1000,2000,100,1.2
"194","NB test","rarefied",0.0725,20,1000,2000,100,1.2
"195","t test","original",0.0525,20,1000,2000,100,1.2
"196","t test","rarefied",0.055,20,1000,2000,100,1.2
"197","NB test","original",0.16,100,1000,2000,100,1.2
"198","NB test","rarefied",0.16,100,1000,2000,100,1.2
"199","t test","original",0.1475,100,1000,2000,100,1.2
"200","t test","rarefied",0.15,100,1000,2000,100,1.2
"201","NB test","original",0.095,20,1000,10000,100,1.2
"202","NB test","rarefied",0.0875,20,1000,10000,100,1.2
"203","t test","original",0.0675,20,1000,10000,100,1.2
"204","t test","rarefied",0.0625,20,1000,10000,100,1.2
"205","NB test","original",0.1525,100,1000,10000,100,1.2
"206","NB test","rarefied",0.15,100,1000,10000,100,1.2
"207","t test","original",0.155,100,1000,10000,100,1.2
"208","t test","rarefied",0.1425,100,1000,10000,100,1.2
"209","NB test","original",0.21,20,1000,2000,1000,1.2
"210","NB test","rarefied",0.2,20,1000,2000,1000,1.2
"211","t test","original",0.1925,20,1000,2000,1000,1.2
"212","t test","rarefied",0.16,20,1000,2000,1000,1.2
"213","NB test","original",0.6225,100,1000,2000,1000,1.2
"214","NB test","rarefied",0.5425,100,1000,2000,1000,1.2
"215","t test","original",0.6125,100,1000,2000,1000,1.2
"216","t test","rarefied",0.5375,100,1000,2000,1000,1.2
"217","NB test","original",0.2175,20,1000,10000,1000,1.2
"218","NB test","rarefied",0.165,20,1000,10000,1000,1.2
"219","t test","original",0.2075,20,1000,10000,1000,1.2
"220","t test","rarefied",0.1425,20,1000,10000,1000,1.2
"221","NB test","original",0.725,100,1000,10000,1000,1.2
"222","NB test","rarefied",0.5775,100,1000,10000,1000,1.2
"223","t test","original",0.735,100,1000,10000,1000,1.2
"224","t test","rarefied",0.565,100,1000,10000,1000,1.2
"225","NB test","original",0.305,20,1000,2000,10000,1.2
"226","NB test","rarefied",0.245,20,1000,2000,10000,1.2
"227","t test","original",0.3075,20,1000,2000,10000,1.2
"228","t test","rarefied",0.245,20,1000,2000,10000,1.2
"229","NB test","original",0.91,100,1000,2000,10000,1.2
"230","NB test","rarefied",0.8025,100,1000,2000,10000,1.2
"231","t test","original",0.9125,100,1000,2000,10000,1.2
"232","t test","rarefied",0.8,100,1000,2000,10000,1.2
"233","NB test","original",0.41,20,1000,10000,10000,1.2
"234","NB test","rarefied",0.2425,20,1000,10000,10000,1.2
"235","t test","original",0.4325,20,1000,10000,10000,1.2
"236","t test","rarefied",0.2475,20,1000,10000,10000,1.2
"237","NB test","original",0.955,100,1000,10000,10000,1.2
"238","NB test","rarefied",0.805,100,1000,10000,10000,1.2
"239","t test","original",0.9525,100,1000,10000,10000,1.2
"240","t test","rarefied",0.805,100,1000,10000,10000,1.2
"241","NB test","original",0.1025,20,1000,2000,100,1.25
"242","NB test","rarefied",0.0925,20,1000,2000,100,1.25
"243","t test","original",0.08,20,1000,2000,100,1.25
"244","t test","rarefied",0.0675,20,1000,2000,100,1.25
"245","NB test","original",0.2175,100,1000,2000,100,1.25
"246","NB test","rarefied",0.22,100,1000,2000,100,1.25
"247","t test","original",0.2075,100,1000,2000,100,1.25
"248","t test","rarefied",0.2125,100,1000,2000,100,1.25
"249","NB test","original",0.0975,20,1000,10000,100,1.25
"250","NB test","rarefied",0.0975,20,1000,10000,100,1.25
